source,target,type,datetime
Juan Walsh,Jane Tyler,calls,2015-05-11 15:11:48
Juan Walsh,Jane Tyler,calls,2015-05-11 15:20:31
Juan Walsh,Jane Tyler,calls,2015-05-11 15:21:09
Juan Walsh,Jane Tyler,calls,2015-05-11 15:23:09
Juan Walsh,Jane Tyler,calls,2015-05-11 15:42:28
Juan Walsh,Jane Tyler,calls,2015-05-11 16:51:35
Juan Walsh,Jane Tyler,calls,2015-05-11 19:07:26
Juan Walsh,Jane Tyler,calls,2015-05-11 19:15:18
Juan Walsh,Jane Tyler,calls,2015-05-11 19:47:16
Juan Walsh,Jane Tyler,calls,2015-05-11 19:47:37
Juan Walsh,Jane Tyler,calls,2015-05-11 20:00:10
Juan Walsh,Jane Tyler,calls,2015-05-11 20:52:07
Juan Walsh,Jane Tyler,calls,2015-05-11 21:42:27
Juan Walsh,Jane Tyler,calls,2015-05-11 23:05:02
Juan Walsh,Jane Tyler,calls,2015-05-12 00:37:33
Juan Walsh,Jane Tyler,calls,2015-05-12 02:27:52
Juan Walsh,Jane Tyler,calls,2015-05-12 02:40:49
Juan Walsh,Jane Tyler,calls,2015-05-12 06:08:48
Juan Walsh,Jane Tyler,calls,2015-05-12 09:53:35
Juan Walsh,Jane Tyler,calls,2015-05-12 10:01:56
Juan Walsh,Jane Tyler,calls,2015-05-12 10:25:47
Juan Walsh,Jane Tyler,calls,2015-05-12 14:47:21
Juan Walsh,Jane Tyler,calls,2015-05-12 15:41:43
Juan Walsh,Jane Tyler,calls,2015-05-12 19:44:34
Juan Walsh,Jane Tyler,calls,2015-05-13 00:20:20
Juan Walsh,Jane Tyler,calls,2015-05-13 01:12:15
Juan Walsh,Jane Tyler,calls,2015-05-13 03:45:01
Juan Walsh,Jane Tyler,calls,2015-05-13 03:55:48
Juan Walsh,Jane Tyler,calls,2015-05-13 05:11:57
Juan Walsh,Jane Tyler,calls,2015-05-13 15:23:40
Juan Walsh,Jane Tyler,calls,2015-05-14 16:10:56
Juan Walsh,Jane Tyler,calls,2015-05-15 16:16:03
Juan Walsh,Jane Tyler,calls,2015-05-16 08:53:56
Juan Walsh,Jane Tyler,calls,2015-05-16 16:52:08
Juan Walsh,Jane Tyler,calls,2015-05-17 02:47:39
Juan Walsh,Jane Tyler,calls,2015-05-17 08:30:07
Juan Walsh,Jane Tyler,calls,2015-05-17 11:02:32
Juan Walsh,Jane Tyler,calls,2015-05-18 12:18:21
Juan Walsh,Jane Tyler,calls,2015-05-18 18:54:05
Juan Walsh,Jane Tyler,calls,2015-05-18 23:27:34
Juan Walsh,Jane Tyler,calls,2015-05-19 02:45:20
Juan Walsh,Jane Tyler,calls,2015-05-19 15:27:33
Juan Walsh,Jane Tyler,calls,2015-05-20 03:20:20
Juan Walsh,Jane Tyler,calls,2015-05-20 06:01:56
Juan Walsh,Jane Tyler,calls,2015-05-20 09:47:57
Juan Walsh,Jane Tyler,calls,2015-05-21 00:34:06
Juan Walsh,Jane Tyler,calls,2015-05-21 19:20:20
Juan Walsh,Jane Tyler,calls,2015-05-22 00:14:16
Juan Walsh,Jane Tyler,calls,2015-05-22 07:04:39
